shipment_id,status,date,hour,timezone,city_locality,state,lat,lon,pod_url
AE126,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE127,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE128,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE129,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE130,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE131,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE132,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE133,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE134,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE135,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE136,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE137,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE138,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE139,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE140,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE141,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE142,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE143,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE144,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE145,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE146,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE147,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE148,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE149,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE150,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE151,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE152,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE153,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE154,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE155,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE156,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE157,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE158,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE159,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE160,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE161,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE162,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE163,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE164,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE165,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE166,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE167,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE168,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE169,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE170,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE171,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE172,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE173,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE174,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE175,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE176,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE177,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE178,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE179,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE180,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE181,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE182,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE183,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE184,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE185,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE186,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE187,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE188,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE189,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE190,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE191,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE192,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE193,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
